key	text	tooltip
effect_bundles_localised_title_derpy_ic_vacant_muster	Warden of the Muster (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_muster	Every company is hired at whatever it asks for.	false
derpy_ic_effects_derpy_ic_vacant_muster	Recruitment cost +4%	false
effect_bundles_localised_title_derpy_ic_office_banners	Keeper of the Banners	false
effect_bundles_localised_description_derpy_ic_office_banners	Raiding is an accounting exercise, and he keeps the account.	false
derpy_ic_effects_derpy_ic_office_banners	Raiding income +10%	false
effect_bundles_localised_title_derpy_ic_vacant_banners	Keeper of the Banners (Vacant)	false
effect_bundles_localised_description_derpy_ic_vacant_banners	The raiders keep their own accounts, which is to say they keep the takings.	false
derpy_ic_effects_derpy_ic_vacant_banners	Raiding income -5%	false
effect_bundles_localised_title_derpy_ic_control_grip	An Iron Grip on the Court	false
effect_bundles_localised_description_derpy_ic_control_grip	Nothing moves in Zharr-Naggrund that the Crown did not set moving.	false
derpy_ic_effects_derpy_ic_control_grip	Control +6, Building income +12%, Upkeep -15%, Growth +2	false
derpy_ic_control_name_grip	An Iron Grip on the Court	false
effect_bundles_localised_title_derpy_ic_control_mastery	Master of the Court	false
effect_bundles_localised_description_derpy_ic_control_mastery	The parties argue, and then they do as they are told.	false
derpy_ic_effects_derpy_ic_control_mastery	Control +4, Building income +8%, Upkeep -10%	false
derpy_ic_control_name_mastery	Master of the Court	false
effect_bundles_localised_title_derpy_ic_control_command	In Command of the Court	false
effect_bundles_localised_description_derpy_ic_control_command	The Crown is first among the parties, and no more than first.	false
derpy_ic_effects_derpy_ic_control_command	Control +2	false
derpy_ic_control_name_command	In Command of the Court	false
effect_bundles_localised_title_derpy_ic_control_contested	A Contested Court	false
effect_bundles_localised_description_derpy_ic_control_contested	Every decree is a negotiation, and every negotiation has a price.	false
derpy_ic_effects_derpy_ic_control_contested	Control -2, Upkeep +5%	false
derpy_ic_control_name_contested	A Contested Court	false
effect_bundles_localised_title_derpy_ic_control_lost	The Court Is Not Yours	false
effect_bundles_localised_description_derpy_ic_control_lost	The parties rule and the Crown is consulted, when there is time.	false
derpy_ic_effects_derpy_ic_control_lost	Control -8, Upkeep +20%, Building income -15%, Growth -2	false
derpy_ic_control_name_lost	The Court Is Not Yours	false
effect_bundles_localised_title_derpy_ic_gov_base	Overseer of the Province	false
effect_bundles_localised_description_derpy_ic_gov_base	An Overseer of the court sits here, and the province knows it.	false
derpy_ic_effects_derpy_ic_gov_base	Control +2, Growth +8	false
effect_bundles_localised_title_derpy_ic_gov_house_crown	Overseer: The Crown	false
effect_bundles_localised_description_derpy_ic_gov_house_crown	Your own men hold it, and it is quiet because they are watched.	false
derpy_ic_effects_derpy_ic_gov_house_crown	Control +4	false
effect_bundles_localised_title_derpy_ic_gov_house_temple	Overseer: The Priesthood	false
effect_bundles_localised_description_derpy_ic_gov_house_temple	The temples take the province in hand and it grows for Hashut.	false
derpy_ic_effects_derpy_ic_gov_house_temple	Growth +8	false
effect_bundles_localised_title_derpy_ic_gov_house_forge	Overseer: The Forge	false
effect_bundles_localised_description_derpy_ic_gov_house_forge	Forge-guild overseers run the province like a workshop floor.	false
derpy_ic_effects_derpy_ic_gov_house_forge	Armaments +6%	false
effect_bundles_localised_title_derpy_ic_gov_house_chain	Overseer: The Chain	false
effect_bundles_localised_description_derpy_ic_gov_house_chain	The slavers work the province to the bone and account for every hour.	false
derpy_ic_effects_derpy_ic_gov_house_chain	Post-battle Labour +10%	false
effect_bundles_localised_title_derpy_ic_gov_house_legion	Overseer: The Legion	false
effect_bundles_localised_description_derpy_ic_gov_house_legion	A garrison town under a soldier costs less to keep than it should.	false
derpy_ic_effects_derpy_ic_gov_house_legion	Upkeep -6%	false
effect_bundles_localised_title_derpy_ic_gov_house_ledger	Overseer: The Ledger	false
effect_bundles_localised_description_derpy_ic_gov_house_ledger	Brokers take the province's books in hand, and the tribute arrives whole.	false
derpy_ic_effects_derpy_ic_gov_house_ledger	Building income +6%	false
effect_bundles_localised_title_derpy_ic_gov_house_tower	Overseer: The Tower	false
effect_bundles_localised_description_derpy_ic_gov_house_tower	Tower clerks read everything that passes through, and pass it on.	false
derpy_ic_effects_derpy_ic_gov_house_tower	Research +5	false
effect_bundles_localised_title_derpy_ic_gov_house_road	Overseer: The Road	false
effect_bundles_localised_description_derpy_ic_gov_house_road	The caravan men keep the roads open whatever the season.	false
derpy_ic_effects_derpy_ic_gov_house_road	Movement range +4%	false
effect_bundles_localised_title_derpy_ic_gov_house_hearth	Overseer: The Hearth	false
effect_bundles_localised_description_derpy_ic_gov_house_hearth	The old clans hold it, and men come back to the muster faster.	false
derpy_ic_effects_derpy_ic_gov_house_hearth	Replenishment +8%	false
derpy_ic_office_name_priest	High Priest of Hashut	false
derpy_ic_office_name_forge	Grand Overseer of the Forge	false
derpy_ic_office_name_ledger	Keeper of the Black Ledger	false
derpy_ic_office_name_warden	Warden of the Marches	false
derpy_ic_office_name_hand	Hand of the Tower	false
derpy_ic_office_name_chains	Keeper of the Chains	false
derpy_ic_office_name_pits	Master of the Pits	false
derpy_ic_office_name_quarry	Master of the Quarries	false
derpy_ic_office_name_roads	Warden of the Caravan Roads	false
derpy_ic_office_name_kilns	Keeper of the Kilns	false
derpy_ic_office_name_fields	Steward of the Ash Fields	false
derpy_ic_office_name_scribes	Master of the Scribes	false
derpy_ic_office_name_muster	Warden of the Muster	false
derpy_ic_office_name_banners	Keeper of the Banners	false
derpy_ic_party_name_crown	The Crown	false
derpy_ic_party_name_temple	The Priesthood	false
derpy_ic_party_name_forge	The Forge	false
derpy_ic_party_name_chain	The Chain	false
derpy_ic_party_name_legion	The Legion	false
derpy_ic_party_name_ledger	The Ledger	false
derpy_ic_party_name_tower	The Tower	false
derpy_ic_party_name_road	The Road	false
derpy_ic_party_name_hearth	The Hearth	false
derpy_ic_origin_name_khorakk	the House of Khorakk	false
derpy_ic_origin_name_uzkulak	the Warfleet of Uzkulak	false
derpy_ic_origin_name_artificers	Snakebeard's Artificers	false
derpy_ic_origin_name_fists	the Fists of Hashut	false
derpy_ic_origin_name_horns	the Horns of Hashut	false
derpy_ic_origin_name_baal	the House of Baal	false
derpy_ic_origin_name_azeros	the House of Azeros	false
derpy_ic_origin_name_bzaark	the House of Bzaark	false
derpy_ic_origin_name_blackdwarf	the Slaves of the Black Dwarf	false
derpy_ic_origin_name_kraken	the Black Kraken Armada	false
derpy_ic_origin_name_conclave	the Servants of the Conclave	false
derpy_ic_origin_name_astragoth	the Disciples of Hashut	false
derpy_ic_origin_name_azgorh	the Legion of Azgorh	false
derpy_ic_origin_name_zhatan	the Warhost of Zharr	false
derpy_ic_origin_name_skullstack	the Uzkul Mingol Company	false
derpy_ic_origin_name_zharrduk	the Overlords of Zharrduk	false
derpy_ic_origin_name_zharr	Zharr-Naggrund	false
derpy_ic_origin_name_plain	the Plain of Zharr	false
derpy_ic_origin_name_gorgoth	the Tower of Gorgoth	false
derpy_ic_origin_name_stump	Daemon's Stump	false
derpy_ic_origin_name_zornuzkul	Zorn Uzkul	false
derpy_ic_origin_name_gash	Gash Kadrak	false
derpy_ic_origin_name_mines	the Mines of Mingol	false
derpy_ic_origin_name_wastes	the Howling Wastes	false
derpy_ic_bg_name_household	Household Guard	false
derpy_ic_bg_name_blood	Blood of the Line	false
derpy_ic_bg_name_sworn	Sworn Hand	false
derpy_ic_bg_name_acolyte	Temple Acolyte	false
derpy_ic_bg_name_ashpriest	Ash-Priest	false
derpy_ic_bg_name_taurukh	Bull Centaur Taurukh	false
derpy_ic_bg_name_daemonsmith	Daemonsmith	false
derpy_ic_bg_name_gunnery	Gunnery Master	false
derpy_ic_bg_name_furnace	Furnace Master	false
derpy_ic_bg_name_overseer	Overseer of the Pits	false
derpy_ic_bg_name_driver	Slave-Driver	false
derpy_ic_bg_name_wrangler	Hobgoblin Wrangler	false
derpy_ic_bg_name_immortal	Immortal of Zharr	false
derpy_ic_bg_name_infernal	Infernal Guard	false
derpy_ic_bg_name_siege	Siege Captain	false
derpy_ic_bg_name_broker	Broker of Zharr	false
derpy_ic_bg_name_tribute	Tribute-Taker	false
derpy_ic_bg_name_harbour	Harbourmaster	false
derpy_ic_bg_name_apprentice	Sorcerer's Apprentice	false
derpy_ic_bg_name_clerk	Clerk of the Tower	false
derpy_ic_bg_name_omens	Reader of Omens	false
derpy_ic_bg_name_caravan	Caravan Master	false
derpy_ic_bg_name_roadwarden	Road Warden	false
derpy_ic_bg_name_pathfinder	Walker of the Wastes	false
derpy_ic_bg_name_ashfarmer	Ash-Farmer	false
derpy_ic_bg_name_kiln	Kiln-Keeper	false
derpy_ic_bg_name_elder	Clan Elder	false
character_trait_levels_onscreen_name_derpy_ic_standing_0	Unproven at Court	false
character_trait_levels_colour_text_derpy_ic_standing_0	He has done nothing the Iron Court thinks worth remembering.	false
character_trait_levels_explanation_text_derpy_ic_standing_0	No seat of the court is open to him. Influence is earned in the field - a victory, a settlement taken, a rank won - and by holding a seat once he has one.	false
character_trait_levels_removal_text_derpy_ic_standing_0	His influence at court has changed.	false
character_trait_levels_onscreen_name_derpy_ic_standing_1	Fit for the Apex	false
character_trait_levels_colour_text_derpy_ic_standing_1	There is no room above him but Hashut's own.	false
character_trait_levels_explanation_text_derpy_ic_standing_1	He has earned enough influence for any seat in the court, The Apex included.	false
character_trait_levels_removal_text_derpy_ic_standing_1	His influence at court has changed.	false
character_trait_levels_onscreen_name_derpy_ic_standing_2	Weighed at Court	false
character_trait_levels_colour_text_derpy_ic_standing_2	The old ones have stopped talking over him when he speaks.	false
character_trait_levels_explanation_text_derpy_ic_standing_2	He has earned enough influence to be seated at The High Table.	false
character_trait_levels_removal_text_derpy_ic_standing_2	His influence at court has changed.	false
character_trait_levels_onscreen_name_derpy_ic_standing_3	Spoken For at Court	false
character_trait_levels_colour_text_derpy_ic_standing_3	A house or two would take him, and one of them says so out loud.	false
character_trait_levels_explanation_text_derpy_ic_standing_3	He has earned enough influence to be seated on The Broad Step.	false
character_trait_levels_removal_text_derpy_ic_standing_3	His influence at court has changed.	false
character_trait_levels_onscreen_name_derpy_ic_standing_4	Noticed at Court	false
character_trait_levels_colour_text_derpy_ic_standing_4	His name has begun to come up, and not only when something breaks.	false
character_trait_levels_explanation_text_derpy_ic_standing_4	He has earned enough influence to be seated on The Lower Step, the lowest tier of the ziggurat.	false
character_trait_levels_removal_text_derpy_ic_standing_4	His influence at court has changed.	false
character_trait_levels_onscreen_name_derpy_ic_ambition_cautious	Cautious	false
character_trait_levels_colour_text_derpy_ic_ambition_cautious	His influence carries less weight in the Iron Court.	false
character_trait_levels_explanation_text_derpy_ic_ambition_cautious	His influence counts 25% less towards his party's.	false
character_trait_levels_removal_text_derpy_ic_ambition_cautious	His ambition does not change.	false
character_trait_levels_onscreen_name_derpy_ic_ambition_steady	Steady	false
character_trait_levels_colour_text_derpy_ic_ambition_steady	His influence carries its usual weight in the Iron Court.	false
character_trait_levels_explanation_text_derpy_ic_ambition_steady	His influence counts as usual towards his party's.	false
character_trait_levels_removal_text_derpy_ic_ambition_steady	His ambition does not change.	false
character_trait_levels_onscreen_name_derpy_ic_ambition_ambitious	Ambitious	false
character_trait_levels_colour_text_derpy_ic_ambition_ambitious	Every honour becomes another claim on the Iron Court.	false
character_trait_levels_explanation_text_derpy_ic_ambition_ambitious	His influence counts 25% more towards his party's.	false
character_trait_levels_removal_text_derpy_ic_ambition_ambitious	His ambition does not change.	false
character_trait_levels_onscreen_name_derpy_ic_house_khorakk	Born: The House of Khorakk	false
character_trait_levels_colour_text_derpy_ic_house_khorakk	Born to the bull-cult, and it shows in everything he does.	false
character_trait_levels_explanation_text_derpy_ic_house_khorakk	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_khorakk	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_uzkulak	Born: The Warfleet of Uzkulak	false
character_trait_levels_colour_text_derpy_ic_house_uzkulak	Raised on a deck, counting other men's cargo.	false
character_trait_levels_explanation_text_derpy_ic_house_uzkulak	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_uzkulak	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_artificers	Born: Snakebeard's Artificers	false
character_trait_levels_colour_text_derpy_ic_house_artificers	Snakebeard's people take apart anything that holds still.	false
character_trait_levels_explanation_text_derpy_ic_house_artificers	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_artificers	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_fists	Born: The Fists of Hashut	false
character_trait_levels_colour_text_derpy_ic_house_fists	Temple-drilled, and proud of the scars that took.	false
character_trait_levels_explanation_text_derpy_ic_house_fists	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_fists	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_horns	Born: The Horns of Hashut	false
character_trait_levels_colour_text_derpy_ic_house_horns	The Horns raise their sons lean and keep them that way.	false
character_trait_levels_explanation_text_derpy_ic_house_horns	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_horns	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_baal	Born: The House of Baal	false
character_trait_levels_colour_text_derpy_ic_house_baal	Baal's kin smell of burnt brass and do not apologise for it.	false
character_trait_levels_explanation_text_derpy_ic_house_baal	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_baal	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_azeros	Born: The House of Azeros	false
character_trait_levels_colour_text_derpy_ic_house_azeros	Azeros builds. His people measure a thing before they hate it.	false
character_trait_levels_explanation_text_derpy_ic_house_azeros	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_azeros	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_bzaark	Born: The House of Bzaark	false
character_trait_levels_colour_text_derpy_ic_house_bzaark	Bzaark's household is not known for restraint, or for survivors.	false
character_trait_levels_explanation_text_derpy_ic_house_bzaark	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_bzaark	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_blackdwarf	Born: The Slaves of the Black Dwarf	false
character_trait_levels_colour_text_derpy_ic_house_blackdwarf	Sworn to the Black Dwarf, which is not the same as being free.	false
character_trait_levels_explanation_text_derpy_ic_house_blackdwarf	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_blackdwarf	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_kraken	Born: The Black Kraken Armada	false
character_trait_levels_colour_text_derpy_ic_house_kraken	The Armada raised him, and the Armada expects its due.	false
character_trait_levels_explanation_text_derpy_ic_house_kraken	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_kraken	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_conclave	Born: The Servants of the Conclave	false
character_trait_levels_colour_text_derpy_ic_house_conclave	Conclave-raised, and never lets anyone forget which tower taught him.	false
character_trait_levels_explanation_text_derpy_ic_house_conclave	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_conclave	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_astragoth	Born: The Disciples of Hashut	false
character_trait_levels_colour_text_derpy_ic_house_astragoth	Old blood, old rites, and a back that has never once bent.	false
character_trait_levels_explanation_text_derpy_ic_house_astragoth	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_astragoth	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_azgorh	Born: The Legion of Azgorh	false
character_trait_levels_colour_text_derpy_ic_house_azgorh	Forge-bred in Azgorh, and smells of it at forty paces.	false
character_trait_levels_explanation_text_derpy_ic_house_azgorh	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_azgorh	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_zhatan	Born: The Warhost of Zharr	false
character_trait_levels_colour_text_derpy_ic_house_zhatan	Raised in the Warhost, where a man is his last campaign.	false
character_trait_levels_explanation_text_derpy_ic_house_zhatan	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_zhatan	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_skullstack	Born: The Uzkul Mingol Company	false
character_trait_levels_colour_text_derpy_ic_house_skullstack	Company-raised: he prices a man before he greets him.	false
character_trait_levels_explanation_text_derpy_ic_house_skullstack	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_skullstack	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_zharrduk	Born: The Overlords of Zharrduk	false
character_trait_levels_colour_text_derpy_ic_house_zharrduk	Zharrduk-born, and runs a province the way the plain is run.	false
character_trait_levels_explanation_text_derpy_ic_house_zharrduk	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_zharrduk	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_zharr	Born: Zharr-Naggrund	false
character_trait_levels_colour_text_derpy_ic_house_zharr	Raised under the Tower itself, and impossible to impress.	false
character_trait_levels_explanation_text_derpy_ic_house_zharr	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_zharr	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_plain	Born: The Plain of Zharr	false
character_trait_levels_colour_text_derpy_ic_house_plain	Plain-bred: he measures everything against a horizon.	false
character_trait_levels_explanation_text_derpy_ic_house_plain	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_plain	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_gorgoth	Born: The Tower of Gorgoth	false
character_trait_levels_colour_text_derpy_ic_house_gorgoth	Gorgoth raised him, and Gorgoth raises them hard.	false
character_trait_levels_explanation_text_derpy_ic_house_gorgoth	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_gorgoth	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_stump	Born: Daemon's Stump	false
character_trait_levels_colour_text_derpy_ic_house_stump	From the Stump, where the ground is still warm.	false
character_trait_levels_explanation_text_derpy_ic_house_stump	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_stump	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_zornuzkul	Born: Zorn Uzkul	false
character_trait_levels_colour_text_derpy_ic_house_zornuzkul	Born on the Great Skull Land. He does not discuss it.	false
character_trait_levels_explanation_text_derpy_ic_house_zornuzkul	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_zornuzkul	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_gash	Born: Gash Kadrak	false
character_trait_levels_colour_text_derpy_ic_house_gash	Gash Kadrak: orc country, and he grew up armed.	false
character_trait_levels_explanation_text_derpy_ic_house_gash	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_gash	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_mines	Born: The Mines of Mingol	false
character_trait_levels_colour_text_derpy_ic_house_mines	Born underground and never entirely comfortable above it.	false
character_trait_levels_explanation_text_derpy_ic_house_mines	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_mines	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_house_wastes	Born: The Howling Wastes	false
character_trait_levels_colour_text_derpy_ic_house_wastes	Waste-born, and he still eats like the next meal is theoretical.	false
character_trait_levels_explanation_text_derpy_ic_house_wastes	Where he came from. It says nothing about what he wants.	false
character_trait_levels_removal_text_derpy_ic_house_wastes	His origin has been struck from the rolls.	false
character_trait_levels_onscreen_name_derpy_ic_bg_household	Household Guard	false
character_trait_levels_colour_text_derpy_ic_bg_household	He stood at your door before he ever stood in a battle line.	false
character_trait_levels_explanation_text_derpy_ic_bg_household	What he did before you had a use for him, and who that puts him with at court.	false
character_trait_levels_removal_text_derpy_ic_bg_household	He has left the trade behind, whatever he says.	false
character_trait_levels_onscreen_name_derpy_ic_bg_blood	Blood of the Line	false
character_trait_levels_colour_text_derpy_ic_bg_blood	Close enough to the line to be dangerous, and he knows it.	false
character_trait_levels_explanation_text_derpy_ic_bg_blood	What he did before you had a use for him, and who that puts him with at court.	false
character_trait_levels_removal_text_derpy_ic_bg_blood	He has left the trade behind, whatever he says.	false
character_trait_levels_onscreen_name_derpy_ic_bg_sworn	Sworn Hand	false
character_trait_levels_colour_text_derpy_ic_bg_sworn	He swore to the throne personally, and takes that literally.	false
character_trait_levels_explanation_text_derpy_ic_bg_sworn	What he did before you had a use for him, and who that puts him with at court.	false
character_trait_levels_removal_text_derpy_ic_bg_sworn	He has left the trade behind, whatever he says.	false
character_trait_levels_onscreen_name_derpy_ic_bg_acolyte	Temple Acolyte	false
character_trait_levels_colour_text_derpy_ic_bg_acolyte	Temple-raised. He still says the words under his breath.	false
character_trait_levels_explanation_text_derpy_ic_bg_acolyte	What he did before you had a use for him, and who that puts him with at court.	false
